Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.717471253,-1.552941918,9.460622787,-1.493719578,9.702897006
0.719977763,-1.591227055,9.532406807,-1.445863128,9.771862835
0.72248443,-1.576870084,9.527621269,-1.393221021,9.757210212
0.724991253,-1.605584025,9.5754776,-1.383649707,9.807250269
0.727498128,-1.610369682,9.623334885,-1.412363529,9.858835406
0.730005055,-1.605584025,9.628120422,-1.484148264,9.873261822
0.732511878,-1.567298889,9.628120422,-1.484148264,9.867108226
0.735018701,-1.600798368,9.647262573,-1.60378933,9.909811844
0.737525263,-1.586441398,9.666405678,-1.627717614,9.930038251
0.740032034,-1.567298889,9.680762291,-1.680359721,9.94973332
0.742538909,-1.529013634,9.680762291,-1.68574357,9.944685647
0.745045732,-1.505085468,9.671191216,-1.661217093,9.927580976
0.747552347,-1.495514154,9.675976753,-1.613360643,9.922903873
0.750058961,-1.462014675,9.666405678,-1.546361685,9.897884627
0.752565419,-1.42372942,9.661619186,-1.488933921,9.878806354
0.755072034,-1.37587297,9.661619186,-1.555932879,9.882349865
0.757578701,-1.361516118,9.666405678,-1.656431437,9.901357986
0.760085524,-1.323230863,9.685547829,-1.7670995,9.933952753
0.762592399,-1.337587833,9.699904442,-1.896311998,9.973629559
0.765099169,-1.332802176,9.723833084,-1.948953986,10.00638362
0.767605732,-1.418943882,9.752547264,-1.953739643,10.04702336
0.770112503,-1.47158587,9.800403595,-2.035095692,10.11706924
0.772619274,-1.548156261,9.776474953,-2.097309113,10.11805099
0.775126149,-1.634297848,9.829116821,-2.173879385,10.19844197
0.777633024,-1.744367719,9.83868885,-2.178664923,10.22688603
0.780139742,-1.831107497,9.876974106,-2.236092806,10.29114586
0.782646409,-1.979462504,9.900901794,-2.178664923,10.32921628
0.785153128,-2.05124712,9.896116257,-2.130808592,10.3286532
0.787659899,-2.142174482,9.953543663,-2.063809633,10.38851545
0.790166722,-2.213959217,9.929615974,-1.996810555,10.36755232
0.792673649,-2.285743713,9.920044899,-1.996810555,10.37396585
0.795180524,-2.333600283,9.881759644,-2.00638175,10.34990008
0.79768719,-2.33838582,9.881759644,-2.025524378,10.35470767
0.800193961,-2.35274291,9.867402077,-2.039881229,10.34708357
0.80270068,-2.395813704,9.857831001,-2.068595171,10.35354245
