Time (s);Gyroscope x (rad/s);Gyroscope y (rad/s);Gyroscope z (rad/s)
4,046187261;-0,082074709;-1,337286592;-1,986911058
4,056187261;0,041681983;-1,500990987;-2,324720144
4,066187261;0,178554788;-1,639890909;-2,613063812
4,076187261;0,23949787;-1,742903471;-2,72790432
4,086187261;0,181804001;-1,787965655;-2,567928314
4,096187261;0,041734148;-1,739825606;-2,117993355
4,106187261;-0,119354486;-1,574879885;-1,437201142
4,116187261;-0,260985076;-1,30175817;-0,614167273
4,126187261;-0,364993066;-0,936262548;0,290003419
4,136187261;-0,414561749;-0,497334868;1,223591685
4,146187261;-0,38292554;-0,045607235;2,06734848
4,156187261;-0,24111928;0,300844431;2,609169483
4,166187261;-0,001096558;0,403946429;2,626934767
4,176187261;0,255642831;0,197114304;2,062600136
4,186187261;0,443332046;-0,241088405;1,109590054
4,196187261;0,550093174;-0,719323993;0,107783139
4,206187261;0,620152533;-1,054381013;-0,638111651
4,216187261;0,667720795;-1,154723525;-0,936048567
4,226187261;0,658292532;-1,026527405;-0,722556174
4,236187261;0,613657296;-0,712394357;-0,078556143
4,246187261;0,623811662;-0,278219134;0,779715598
4,256187261;0,721674681;0,150466934;1,581005692
4,266187261;0,803477883;0,410822809;2,112789631
4,276187261;0,723756015;0,394426614;2,270548105
4,286187261;0,484374195;0,137671262;2,06342411
4,296187261;0,21948728;-0,222094536;1,596063733
4,306187261;0,035789315;-0,55589211;1,022313595
4,316187261;-0,060650308;-0,808368742;0,464685112
4,326187261;-0,035786118;-0,930068612;0,005377393
4,336187261;0,112915672;-0,806898534;-0,088386841
4,346187261;0,091612637;-0,300812483;0,840039074
4,356187261;-0,333003402;0,579421282;2,998726368
4,366187261;-0,8280195;1,594139934;5,476842403
4,376187261;-0,788228273;2,327999115;6,868597031
4,386187261;-0,103422463;2,29728055;6,217929363
4,396187261;0,544741333;1,37660408;3,803189039
4,406187261;0,492090553;-0,043216098;0,695488214
4,416187261;-0,134178251;-1,381476879;-2,079306126
4,426187261;-0,741313696;-2,12670207;-3,670642853
4,436187261;-0,849423707;-2,028184175;-3,696615458
4,446187261;-0,345243335;-1,24316144;-2,587304354
4,456187261;0,592708826;-0,233587101;-1,243653297
4,466187261;1,505083442;0,500971615;-0,356434613
4,476187261;1,836547375;0,752244174;0,032996815
4,486187261;1,497411847;0,742359161;0,371277541
4,496187261;0,978990018;0,827675641;0,985640705
